Tronnes et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=274
Tuff & Gibson 2007	http://earthref.org/cgi-bin/err.cgi?n=99706
Ulmer 1989	http://earthref.org/cgi-bin/err.cgi?n=275
Vanwestrenen et al. 1999	http://earthref.org/cgi-bin/err.cgi?n=99707
Vanwestrenen et al. 2000	http://earthref.org/cgi-bin/err.cgi?n=99708
Yurimoto & Ohtani 1992	http://earthref.org/cgi-bin/err.cgi?n=294
Zack et al. 1997	http://earthref.org/cgi-bin/err.cgi?n=296
Anderson & Greenland 1969	http://earthref.org/cgi-bin/err.cgi?n=95
Ewart & Griffin 1994	http://earthref.org/cgi-bin/err.cgi?n=337
Fujimaki et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=346
Green & Pearson 1987	http://earthref.org/cgi-bin/err.cgi?n=94
Klemme et al. 2006	http://earthref.org/cgi-bin/err.cgi?n=98595
Latourrette et al. 1991	http://earthref.org/cgi-bin/err.cgi?n=157
Mahood & Hildreth 1983	http://earthref.org/cgi-bin/err.cgi?n=186
McCallum & Charette 1978	http://earthref.org/cgi-bin/err.cgi?n=191
McKay & Weill 1976	http://earthref.org/cgi-bin/err.cgi?n=197
McKay et al. 1986	http://earthref.org/cgi-bin/err.cgi?n=199
Nash & Crecraft 1985	http://earthref.org/cgi-bin/err.cgi?n=217
Nielsen et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=223
Paster et al. 1974	http://earthref.org/cgi-bin/err.cgi?n=230
Ringwood 1970	http://earthref.org/cgi-bin/err.cgi?n=238
Stimac & Hickmott 1994	http://earthref.org/cgi-bin/err.cgi?n=265
Zack & Brumm 1998	http://earthref.org/cgi-bin/err.cgi?n=295
Ewart & Griffin 1994	http://earthref.org/cgi-bin/err.cgi?n=337
Foley & Jenner 2004	http://earthref.org/cgi-bin/err.cgi?n=99693
Wood & Trigila 2001	http://earthref.org/cgi-bin/err.cgi?n=99711
Bacon & Druitt 1988	http://earthref.org/cgi-bin/err.cgi?n=124
Esperanca et al. 1997	http://earthref.org/cgi-bin/err.cgi?n=64
Ewart & Griffin 1994	http://earthref.org/cgi-bin/err.cgi?n=337
Haskin et al. 1966	http://earthref.org/cgi-bin/err.cgi?n=109
Latourrette et al. 1991	http://earthref.org/cgi-bin/err.cgi?n=157
Lemarchand et al. 1987	http://earthref.org/cgi-bin/err.cgi?n=166
Luhr & Carmichael 1980	http://earthref.org/cgi-bin/err.cgi?n=181
Luhr et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=182
Mahood & Hildreth 1983	http://earthref.org/cgi-bin/err.cgi?n=186
Mahood & Stimac 1990	http://earthref.org/cgi-bin/err.cgi?n=187
Nash & Crecraft 1985	http://earthref.org/cgi-bin/err.cgi?n=217
Nielsen & Beard 2000	http://earthref.org/cgi-bin/err.cgi?n=221
Nielsen 1992	http://earthref.org/cgi-bin/err.cgi?n=29
Nielsen et al. 1992	http://earthref.org/cgi-bin/err.cgi?n=223
Okamoto 1979	http://earthref.org/cgi-bin/err.cgi?n=227
Reid 1983	http://earthref.org/cgi-bin/err.cgi?n=237
Streck & Grunder 1997	http://earthref.org/cgi-bin/err.cgi?n=267
Larsen 1979	http://earthref.org/cgi-bin/err.cgi?n=154
Adam & Green 2006	http://earthref.org/cgi-bin/err.cgi?n=99679
Akella et al. 1976	http://earthref.org/cgi-bin/err.cgi?n=312
